,Client_ID,Max_Value
562,1413,10.862248292249935
147,351,10.814488386066493
382,950,10.033981293011546
10,18,10.009383675732876
80,196,9.985567144919905
561,1409,9.718704204984185
358,885,9.548427172055577
514,1277,9.49322170244361
63,152,9.47553321498875
66,160,9.149064986145087
243,586,8.959626373987373
256,632,8.356416975268733
224,534,8.210936484276926
84,205,7.930825913059375
346,850,7.866430957864852
595,1486,7.834240553824275
167,388,7.596624512069913
633,1587,7.388180381139608
499,1240,6.424532750621076
177,410,6.394531661223977
564,1418,6.370589902978961
61,150,6.370000151032359
245,591,6.177001535939228
58,144,6.077717641404173
