,Client_ID,Max_Value
430,1076,12.042952171302433
518,1288,12.039500159339314
582,1454,12.013543981881407
131,313,11.417364517424906
549,1372,11.400946319590172
89,216,10.34447612610345
146,349,10.138326052845308
223,531,9.929380465166219
629,1568,9.501704503777095
101,238,9.201786696750355
17,40,9.053100460218747
546,1364,8.917332178773643
387,964,8.711601839939721
45,116,8.505851574665739
155,361,8.433438312165475
639,1602,8.216896290500202
422,1062,8.048176113962423
357,877,8.033519535066604
207,495,8.021890262491402
575,1442,8.011103911430995
498,1239,7.994649433264876
169,393,7.985319631412389
537,1342,7.753082124841497
432,1081,7.709547324919776
96,230,7.654153821236605
419,1050,7.624493305497396
271,664,7.580556981277967
460,1133,7.570853509169507
67,163,7.430507091658289
233,561,7.426843684145875
488,1210,7.354644095987414
275,673,7.3014053502374585
143,341,7.227414800174678
450,1118,7.18011282515464
2,4,7.129769534863175
388,966,7.117749601571635
483,1199,7.108722530685374
241,582,7.0890597544284955
209,503,7.043791491305963
589,1473,7.037774446693939
73,173,6.9877169784948965
313,778,6.948467531580705
551,1376,6.9422888570289025
286,700,6.929161413826814
297,730,6.92656700983284
290,709,6.7911918917767675
380,947,6.765719011385842
229,542,6.691553777417262
339,833,6.636665818418115
598,1492,6.596857888775319
584,1457,6.543335038930343
31,88,6.5023706450183205
208,497,6.49960475272914
135,328,6.481426624909777
21,56,6.427838828254067
497,1236,6.315421617968227
206,489,6.289586987909801
440,1095,6.259461887360137
553,1384,6.228117288813894
235,565,6.222109473773697
542,1357,6.208794650023452
446,1106,6.175969036693811
133,324,6.139395915233399
287,705,6.1303093337085635
335,827,6.110584208144112
217,521,6.056248571237999
203,484,6.029348667889419
